city_ascii,lat,lng,country,admin_name,population,id
Bhubaneshwar,20.27,85.84,India,Odisha,837737,1356140143
Kalkaji Devi,28.5485,77.2513,India,Delhi,824177,1356264482
Mandvi,19.3,72.85,India,Maharashtra,814655,1356843310
Bhayandar,19.29,72.85,India,Maharashtra,809378,1356019118
Patiala,30.34,76.38,India,Punjab,763280,1356458416
Dhulia,20.8997,74.7697,India,Maharashtra,750000,1356224695
Thiruvananthapuram,8.4875,76.9525,India,Kerala,743691,1356024354
Bhiwandi,19.2967,73.0631,India,Maharashtra,709665,1356763571
Saharanpur,29.964,77.546,India,Uttar Pradesh,705478,1356139858
Warangal,17.9689,79.5941,India,Andhra Pradesh,704570,1356851618
Shiliguri,26.71,88.43,India,West Bengal,701489,1356724691
Vellore,12.9165,79.1325,India,Tamil Nadu,696110,1356977661
Salem,11.65,78.15,India,Tamil Nadu,693236,1356567087
Kochi,9.97,76.28,India,Kerala,677381,1356707865
Gorakhpur,26.7637,83.4039,India,Uttar Pradesh,673446,1356190221
Narela,28.8527,77.0929,India,Delhi,661994,1356542019
Guntur,16.3008,80.4428,India,Andhra Pradesh,647508,1356374905
Bhavnagar,21.76,72.15,India,Gujarat,643365,1356982375
Rasulpur,28.57,77.32,India,Uttar Pradesh,637272,1356018224
Noida,28.57,77.32,India,Uttar Pradesh,637272,1356002491
Brahmapur,19.315,84.7941,India,Odisha,634220,1356569354
Bhangar,22.58,88.42,India,West Bengal,632107,1356177796
Bhilai,21.3667,81.7167,India,Chhattisgarh,625700,1356098574
Bhilai,21.21,81.38,India,Chhattisgarh,624700,1356071083
Mangalore,12.902,74.8253,India,Karnataka,623841,1356972351
Nagercoil,8.1833,77.4119,India,Tamil Nadu,622759,1356051733
Cuttack,20.5236,85.7881,India,Odisha,606007,1356872061
Raurkela,22.2492,84.8828,India,Odisha,600000,1356096816
Tumkur,13.34,77.1,India,Karnataka,599078,1356033724
Durgapur,23.55,87.32,India,West Bengal,581409,1356045686
Dehra Dun,30.345,78.029,India,Uttarakhand,578420,1356970407
Chapra,25.7848,84.7274,India,Bihar,567123,1356147120
Asansol,23.68,86.99,India,West Bengal,563917,1356093694
Kolhapur,16.6917,74.2333,India,Maharashtra,561489,1356110593
Ajmer,26.4499,74.6399,India,Rajasthan,551101,1356058258
Nanded,19.15,77.3,India,Maharashtra,550439,1356722310
Amravati,20.9258,77.7647,India,Maharashtra,549370,1356462099
